18.130.144.144 - - [23/Jan/2024:10:33:38 +0000] "-" 400 2069
18.130.144.144 - - [23/Jan/2024:10:35:32 +0000] "GET /login.jsp HTTP/1.1" 403 688
18.216.143.114 - - [23/Jan/2024:10:36:28 +0000] "GET / HTTP/1.1" 200 3979
18.216.143.114 - - [23/Jan/2024:10:36:40 +0000] "GET /js/swipebox.js HTTP/1.1" 200 1050
18.216.143.114 - - [23/Jan/2024:10:37:19 +0000] "GET /js/swipebox.js HTTP/1.1" 200 1050
18.130.144.144 - - [23/Jan/2024:10:38:39 +0000] "-" 400 3227
18.130.144.144 - - [23/Jan/2024:10:40:58 +0000] "GET / HTTP/1.1" 200 3979
78.108.177.51 - - [23/Jan/2024:10:57:37 +0000] "GET / HTTP/1.0" 200 3979
198.235.24.161 - - [23/Jan/2024:10:59:38 +0000] "-" 400 2181
198.235.24.161 - - [23/Jan/2024:10:59:38 +0000] "-" 400 3431
34.78.249.41 - - [23/Jan/2024:11:18:25 +0000] "GET / HTTP/1.1" 200 3979
96.127.160.234 - - [23/Jan/2024:11:28:03 +0000] "POST /goform/set_LimitClient_cfg HTTP/1.1" 404 781
185.254.196.173 - - [23/Jan/2024:11:41:51 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [23/Jan/2024:11:41:51 +0000] "POST / HTTP/1.1" 200 3979
162.243.128.56 - - [23/Jan/2024:11:46:12 +0000] "-" 400 1981
135.125.246.189 - - [23/Jan/2024:11:48:22 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.189 - - [23/Jan/2024:11:48:23 +0000] "POST / HTTP/1.1" 200 3979
44.222.121.202 - - [23/Jan/2024:12:15:52 +0000] "GET / HTTP/1.1" 200 3979
44.222.121.202 - - [23/Jan/2024:12:16:21 +0000] "GET /js/swipebox.js HTTP/1.1" 200 1050
44.222.121.202 - - [23/Jan/2024:12:17:13 +0000] "GET /js/swipebox.js HTTP/1.1" 200 1050
135.125.217.54 - - [23/Jan/2024:12:31:01 +0000] "GET /.env HTTP/1.1" 404 755
