135.125.244.48 - - [27/Jan/2024:10:58:40 +0000] "GET /.env HTTP/1.1" 404 755
135.125.244.48 - - [27/Jan/2024:10:58:41 +0000] "POST / HTTP/1.1" 200 3979
198.98.54.50 - - [27/Jan/2024:11:06:43 +0000] "GET /manager/html HTTP/1.1" 403 3446
185.254.196.173 - - [27/Jan/2024:11:52:25 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [27/Jan/2024:11:52:26 +0000] "POST / HTTP/1.1" 200 3979
23.90.165.142 - - [27/Jan/2024:11:55:00 +0000] "GET / HTTP/1.1" 200 3979
73.75.132.35 - - [27/Jan/2024:12:17:12 +0000] "GET /.env HTTP/1.1" 404 755
73.75.132.35 - - [27/Jan/2024:12:17:13 +0000] "POST / HTTP/1.1" 200 3979
157.230.8.183 - - [27/Jan/2024:12:17:31 +0000] "GET /.env HTTP/1.1" 404 755
104.248.223.102 - - [27/Jan/2024:12:17:33 +0000] "GET / HTTP/1.1" 200 3979
167.248.133.49 - - [27/Jan/2024:12:36:23 +0000] "GET / HTTP/1.1" 200 3979
167.248.133.49 - - [27/Jan/2024:12:36:26 +0000] "GET / HTTP/1.1" 200 3979
167.248.133.49 - - [27/Jan/2024:12:36:27 +0000] "GET /favicon.ico HTTP/1.1" 404 762
139.162.84.205 - - [27/Jan/2024:12:42:14 +0000] "GET / HTTP/1.0" 200 3979
185.254.196.186 - - [27/Jan/2024:13:17:39 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.186 - - [27/Jan/2024:13:17:39 +0000] "POST / HTTP/1.1" 200 3979
159.203.192.47 - - [27/Jan/2024:13:28:05 +0000] "GET / HTTP/1.1" 200 3979
65.49.20.87 - - [27/Jan/2024:13:35:23 +0000] "-" 400 2839
135.125.217.54 - - [27/Jan/2024:14:05:50 +0000] "GET /.env HTTP/1.1" 404 755
135.125.217.54 - - [27/Jan/2024:14:05:50 +0000] "POST / HTTP/1.1" 200 3979
185.254.196.173 - - [27/Jan/2024:14:53:46 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [27/Jan/2024:14:53:48 +0000] "POST / HTTP/1.1" 200 3979
198.199.106.85 - - [27/Jan/2024:15:47:03 +0000] "-" 400 1977
128.14.173.99 - - [27/Jan/2024:16:09:51 +0000] "GET / HTTP/1.1" 200 3979
135.125.217.54 - - [27/Jan/2024:16:24:31 +0000] "GET /.env HTTP/1.1" 404 755
135.125.217.54 - - [27/Jan/2024:16:24:31 +0000] "POST / HTTP/1.1" 200 3979
185.254.196.173 - - [27/Jan/2024:16:24:34 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [27/Jan/2024:16:24:35 +0000] "POST / HTTP/1.1" 200 3979
139.162.84.205 - - [27/Jan/2024:16:38:32 +0000] "GET / HTTP/1.0" 200 3979
103.186.67.227 - - [27/Jan/2024:16:46:03 +0000] "POST /boaform/admin/formLogin HTTP/1.1" 404 782
78.108.177.52 - - [27/Jan/2024:17:15:43 +0000] "GET / HTTP/1.0" 200 3979
123.99.201.37 - - [27/Jan/2024:17:16:30 +0000] "GET /manager/html HTTP/1.1" 403 3446
198.98.54.50 - - [27/Jan/2024:17:21:50 +0000] "GET /manager/html HTTP/1.1" 403 3446
135.125.217.54 - - [27/Jan/2024:17:41:33 +0000] "GET /.env HTTP/1.1" 404 755
135.125.217.54 - - [27/Jan/2024:17:41:33 +0000] "POST / HTTP/1.1" 200 3979
88.151.32.215 - - [27/Jan/2024:17:42:18 +0000] "GET /phpMyAdmin/scripts/setup.php HTTP/1.0" 404 787
88.151.32.215 - - [27/Jan/2024:17:42:18 +0000] "GET /phpmyadmin/scripts/setup.php HTTP/1.0" 404 787
88.151.32.215 - - [27/Jan/2024:17:42:19 +0000] "GET /phpMyAdmin-2.11.4/scripts/setup.php HTTP/1.0" 404 794
88.151.32.215 - - [27/Jan/2024:17:42:19 +0000] "GET /phpMyAdmin-2.11.3/scripts/setup.php HTTP/1.0" 404 794
88.151.32.215 - - [27/Jan/2024:17:42:20 +0000] "GET /phpMyAdmin-2.10.0.2/scripts/setup.php HTTP/1.0" 404 796
88.151.32.215 - - [27/Jan/2024:17:42:20 +0000] "GET /phpMyAdmin-2.10.3/scripts/setup.php HTTP/1.0" 404 794
88.151.32.215 - - [27/Jan/2024:17:42:21 +0000] "GET /phpMyAdmin-2.8.0.2/scripts/setup.php HTTP/1.0" 404 795
88.151.32.215 - - [27/Jan/2024:17:42:21 +0000] "GET /phpMyAdmin-2.10.2/scripts/setup.php HTTP/1.0" 404 794
88.151.32.215 - - [27/Jan/2024:17:42:22 +0000] "GET /phpMyAdmin-2.11.9.2/scripts/setup.php HTTP/1.0" 404 796
88.151.32.215 - - [27/Jan/2024:17:42:22 +0000] "GET /phpMyAdmin-2.11.0/scripts/setup.php HTTP/1.0" 404 794
88.151.32.215 - - [27/Jan/2024:17:42:23 +0000] "GET /phpMyAdmin-2.11.7/scripts/setup.php HTTP/1.0" 404 794
88.151.32.215 - - [27/Jan/2024:17:42:23 +0000] "GET /phpMyAdmin-2.11.1.2/scripts/setup.php HTTP/1.0" 404 796
88.151.32.215 - - [27/Jan/2024:17:42:24 +0000] "GET /pma/scripts/setup.php HTTP/1.0" 404 780
88.151.32.215 - - [27/Jan/2024:17:42:25 +0000] "GET /phpMyAdmin3/scripts/setup.php HTTP/1.0" 404 788
88.151.32.215 - - [27/Jan/2024:17:42:25 +0000] "GET /myadmin/scripts/setup.php HTTP/1.0" 404 784
88.151.32.215 - - [27/Jan/2024:17:42:26 +0000] "GET /MyAdmin/scripts/setup.php HTTP/1.0" 404 784
88.151.32.215 - - [27/Jan/2024:17:42:26 +0000] "GET /PHPMYADMIN/scripts/setup.php HTTP/1.0" 404 787
