180.184.171.155 - - [16/Feb/2024:05:51:02 +0000] "GET /mysql-admin/scripts/setup.php HTTP/1.0" 404 788
135.125.246.110 - - [16/Feb/2024:05:53:09 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.110 - - [16/Feb/2024:05:53:10 +0000] "POST / HTTP/1.1" 200 3979
205.210.31.73 - - [16/Feb/2024:06:12:13 +0000] "GET / HTTP/1.0" 200 3979
87.236.176.234 - - [16/Feb/2024:06:55:58 +0000] "GET / HTTP/1.1" 200 3979
135.125.246.110 - - [16/Feb/2024:06:58:34 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.110 - - [16/Feb/2024:06:58:34 +0000] "POST / HTTP/1.1" 200 3979
205.210.31.28 - - [16/Feb/2024:07:06:53 +0000] "GET / HTTP/1.0" 200 3979
198.235.24.211 - - [16/Feb/2024:07:13:14 +0000] "-" 400 2181
198.235.24.211 - - [16/Feb/2024:07:13:15 +0000] "-" 400 3433
185.254.196.173 - - [16/Feb/2024:07:17:49 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.173 - - [16/Feb/2024:07:17:49 +0000] "POST / HTTP/1.1" 200 3979
198.199.98.133 - - [16/Feb/2024:07:18:04 +0000] "GET /hudson HTTP/1.1" 404 757
78.108.177.54 - - [16/Feb/2024:07:32:06 +0000] "GET / HTTP/1.0" 200 3979
139.162.84.205 - - [16/Feb/2024:08:37:59 +0000] "GET / HTTP/1.0" 200 3979
157.245.147.55 - - [16/Feb/2024:09:08:57 +0000] "GET /_profiler/phpinfo HTTP/1.1" 404 772
157.245.147.55 - - [16/Feb/2024:09:08:57 +0000] "GET /phpinfo.php HTTP/1.1" 404 762
157.245.147.55 - - [16/Feb/2024:09:08:57 +0000] "GET /phpinfo HTTP/1.1" 404 758
157.245.147.55 - - [16/Feb/2024:09:08:57 +0000] "GET /aws.yml HTTP/1.1" 404 758
157.245.147.55 - - [16/Feb/2024:09:08:58 +0000] "GET /.env.bak HTTP/1.1" 404 759
157.245.147.55 - - [16/Feb/2024:09:08:58 +0000] "GET /info.php HTTP/1.1" 404 759
157.245.147.55 - - [16/Feb/2024:09:08:58 +0000] "GET /.aws/credentials HTTP/1.1" 404 771
157.245.147.55 - - [16/Feb/2024:09:08:58 +0000] "GET /config/aws.yml HTTP/1.1" 404 769
157.245.147.55 - - [16/Feb/2024:09:08:59 +0000] "GET / HTTP/1.1" 200 3979
157.245.147.55 - - [16/Feb/2024:09:08:59 +0000] "GET /config.js HTTP/1.1" 404 760
135.125.246.110 - - [16/Feb/2024:09:09:29 +0000] "GET /.env HTTP/1.1" 404 755
135.125.246.110 - - [16/Feb/2024:09:09:30 +0000] "POST / HTTP/1.1" 200 3979
185.254.196.186 - - [16/Feb/2024:09:16:00 +0000] "GET /.env HTTP/1.1" 404 755
185.254.196.186 - - [16/Feb/2024:09:16:01 +0000] "POST / HTTP/1.1" 200 3979
185.224.128.55 - - [16/Feb/2024:10:04:18 +0000] "GET / HTTP/1.1" 200 3979
